isbn,title,author,price,language,num_pages,date,rating,num_rating,category 1,category 2,category 3
9781471146725,Shoe Dog : A Memoir by the Creator of NIKE,Phil Knight,685.51,English,400,03 May 2018,4.47,210694,Biography: Business & Industry,Autobiography: Business & Industry,Prose: Non-fiction
9781408855669,Harry Potter and the Chamber of Secrets,J.K. Rowling,659.15,English,384,11 Sep 2014,4.43,3210269,Fantasy,Fantasy Books,Children's General Story Books
9781925228601,Gut : the inside story of our body's most under-rated organ,Giulia Enders,686.93,English,288,03 Aug 2016,4.05,39987,Medical,Medicine,Public Health & Preventive Medicine
9781447283072,The Nightingale,Kristin Hannah,619.02,English,464,29 Jul 2015,4.58,907707,Contemporary Fiction,Military Fiction,Historical Fiction
9780007413577,"Oh, The Places You'll Go!",Dr. Seuss,651.58,English,48,01 Jun 2017,4.35,366416,"Assertiveness, Motivation & Self-esteem","Mind, Body, Spirit: Thought & Practice",Storybooks
9781471154621,November 9,Colleen Hoover,673.6,English,320,11 Nov 2015,4.34,255233,Romance,Romance Books
9780142402511,Looking for Alaska,John Green,683.74,English,272,01 Jan 2007,3.99,1319215,Language Teaching & Learning Material & Coursework,Children's Fiction,Children's General Story Books
9780744523232,We're Going on a Bear Hunt,Michael Rosen,658.56,English,40,26 Sep 1995,4.27,44523,Picture Books,Storybooks,Activity Books
9781509812493,Monkey Puzzle,Julia Donaldson,648.68,English,32,13 Sep 2016,4.28,3527,Storybooks,Poetry Books for Kids,Children's Fiction
9781848549562,What If? : Serious Scientific Answers to Absurd Hypothetical Questions,Randall Munroe,658.11,English,320,31 Oct 2018,4.14,147458,Science: General Issues,Popular Science,Physics Books
9780141324906,Diary Of A Wimpy Kid (Book 1),Jeff Kinney,645.57,English,224,03 Jul 2008,3.98,569062,Children's Fiction,Children's General Story Books,Family
9781472223821,Hamnet : WINNER OF THE WOMEN'S PRIZE FOR FICTION 2020 - THE NO. 1 BESTSELLER,Maggie O'Farrell,658.12,English,384,15 Apr 2021,4.27,133296,Contemporary Fiction,Crime,Crime Fiction
9780486272740,The Prince,Niccolo Machiavelli,588.32,English,80,02 Jan 2000,3.83,290663,Literary Essays,Anthologies (non-poetry),Early Modern History: C 1450/1500 To C 1700
9781473649521,You Are a Badass : How to Stop Doubting Your Greatness and Start Living an Awesome Life,Jen Sincero,654.68,English,256,13 Oct 2016,3.95,186235,Business & Management,Personal Development,Advice On Careers & Achieving Success
9780441172719,Dune,Frank Herbert,693.08,English,896,15 Jul 2011,4.25,1033658,Classic Books & Novels,Science Fiction,Science Fiction
9781786691378,Pachinko : The New York Times Bestseller,Min Jin Lee,685.18,English,560,10 Aug 2017,4.3,298779,Contemporary Fiction,Historical Romance,Historical Romance
9781780723624,The Fast 800 : How to combine rapid weight loss and intermittent fasting for long-term health,Dr Michael Mosley,657.27,English,288,02 Jan 2019,3.57,6455,Public Health & Preventive Medicine,Health Books,Popular Medicine & Health
