isbn,title,author,price,language,num_pages,date,rating,num_rating,category 1,category 2,category 3
9781848549562,What If? : Serious Scientific Answers to Absurd Hypothetical Questions,Randall Munroe,660.86,English,320,31 Oct 2018,4.14,147458,Science: General Issues,Popular Science,Physics Books
9780141324906,Diary Of A Wimpy Kid (Book 1),Jeff Kinney,648.27,English,224,03 Jul 2008,3.98,569062,Children's Fiction,Children's General Story Books,Family
9781509812493,Monkey Puzzle,Julia Donaldson,651.39,English,32,13 Sep 2016,4.28,3527,Storybooks,Poetry Books for Kids,Children's Fiction
9780486272740,The Prince,Niccolo Machiavelli,590.78,English,80,02 Jan 2000,3.83,290663,Literary Essays,Anthologies (non-poetry),Early Modern History: C 1450/1500 To C 1700
9781473649521,You Are a Badass : How to Stop Doubting Your Greatness and Start Living an Awesome Life,Jen Sincero,657.42,English,256,13 Oct 2016,3.95,186235,Business & Management,Personal Development,Advice On Careers & Achieving Success
9780441172719,Dune,Frank Herbert,696.2,English,896,15 Jul 2011,4.25,1029711,Classic Books & Novels,Science Fiction,Science Fiction
9781780723624,The Fast 800 : How to combine rapid weight loss and intermittent fasting for long-term health,Dr Michael Mosley,660.02,English,288,02 Jan 2019,3.57,6455,Public Health & Preventive Medicine,Health Books,Popular Medicine & Health
9781861974044,The Concise 48 Laws Of Power,Robert Greene,654.38,English,208,13 Jun 2002,4.22,2645,Society & Culture: General,Sociology & Anthropology,Sociology
9781786691378,Pachinko : The New York Times Bestseller,Min Jin Lee,688.05,English,560,10 Aug 2017,4.3,297272,Contemporary Fiction,Historical Romance,Historical Romance
9780091816971,Who Moved My Cheese,Dr Spencer Johnson,644.97,English,96,31 Oct 2018,3.84,415767,Psychology,Business & Management,Office & Workplace
9780345391803,The Hitchhiker's Guide to the Galaxy,Douglas Adams,642.58,English,224,01 Nov 1995,4.22,1613147,Contemporary Fiction,Adventure Books,Science Fiction
9780575081406,The Name of the Wind,Patrick Rothfuss,676.07,English,672,30 Jun 2008,4.52,815841,Fantasy,Fantasy Books
9781408726600,Verity : The thriller that will capture your heart and blow your mind,Colleen Hoover,650.82,English,336,20 Jan 2022,4.42,535331,Crime,Crime Fiction,Thriller Books
9781406313185,Where's Wally?,Martin Handford,632.59,English,32,26 Jul 2011,4.16,7159,Characters,Activity Books,Children's Fiction
9781405293181,A Good Girl's Guide to Murder,Holly Jackson,679.26,English,448,17 Oct 2019,4.37,191347,Vintage Crime,Vintage Crime,Children's General Story Books
9780571081783,The Bell Jar,Sylvia Plath,674.23,English,240,15 Aug 2011,4.03,700010,Autobiography: Literary,Contemporary Fiction,Classic Books & Novels
